Date,country,avgtemp_c,maxtemp_c,mintemp_c,totalprecip_mm,avghumidity,maxwind_kph
2015-02-13,india,26.5,32.1,22.1,0.0,50.0,16.9
2015-02-13,mexico,26.8,32.3,21.9,0.0,58.0,14.0
2015-02-14,india,26.3,31.8,20.5,0.0,53.0,15.8
2015-02-14,mexico,25.9,31.6,21.1,0.0,59.0,15.8
2015-02-15,india,26.9,32.5,20.4,0.0,51.0,20.2
2015-02-15,mexico,26.2,31.8,21.1,0.0,56.0,15.8
2015-02-16,india,27.1,34.1,22.0,0.0,52.0,20.2
2015-02-16,mexico,26.6,33.0,22.2,0.0,56.0,14.0
2015-02-17,india,26.4,33.4,20.3,0.0,56.0,15.5
2015-02-17,mexico,27.1,32.2,22.9,0.0,59.0,15.5
2015-02-18,india,26.1,33.6,19.6,0.0,55.0,18.0
2015-02-18,mexico,27.5,32.8,23.6,0.0,61.0,13.3
2015-02-19,india,25.0,31.1,18.3,0.0,64.0,14.4
2015-02-19,mexico,27.1,32.3,22.2,0.0,59.0,14.4
2015-02-20,india,25.9,31.5,19.7,0.0,58.0,18.0
2015-02-20,mexico,27.1,32.0,23.0,0.0,60.0,14.8
2015-02-21,india,26.9,32.4,22.0,0.0,48.0,10.1
2015-02-21,mexico,26.9,32.4,21.9,0.0,64.0,14.0
2015-02-22,india,27.8,35.4,23.4,0.0,50.0,10.1
2015-02-22,mexico,27.3,32.3,23.0,0.0,56.0,15.1
2015-02-23,india,27.1,33.7,22.8,0.0,54.0,14.0
2015-02-23,mexico,27.6,32.6,23.7,0.0,62.0,14.4
2015-02-24,india,27.0,33.0,21.9,0.0,56.0,13.3
2015-02-24,mexico,27.8,32.8,23.2,0.0,59.0,15.1
2015-02-25,india,26.5,31.3,20.9,0.0,64.0,16.2
2015-02-25,mexico,27.4,32.2,23.2,0.0,58.0,13.7
2015-02-26,india,25.8,31.5,20.8,0.0,62.0,21.6
2015-02-26,mexico,26.8,32.6,21.5,0.0,51.0,17.6
2015-02-27,india,25.7,31.0,20.4,0.0,58.0,12.2
2015-02-27,mexico,27.7,33.1,23.8,0.0,55.0,13.7
2015-02-28,india,24.0,27.3,21.0,0.0,71.0,15.1
2015-02-28,mexico,27.4,32.8,23.1,0.0,58.0,14.4
2015-03-01,india,23.2,26.3,21.3,30.2,74.0,17.6
2015-03-01,mexico,27.5,33.2,22.9,0.0,57.0,15.5
2015-03-02,india,24.6,27.1,22.3,2.1,72.0,13.3
2015-03-02,mexico,28.0,33.7,23.0,0.0,55.0,15.1
2015-03-03,india,23.3,26.5,19.4,0.0,61.0,16.2
2015-03-03,mexico,27.4,32.7,22.4,0.0,60.0,15.8
2015-03-04,india,22.9,27.2,18.0,0.0,53.0,14.4
2015-03-04,mexico,27.4,33.1,23.0,0.0,62.0,14.4
2015-03-05,india,24.1,28.8,18.2,0.0,59.0,10.1
2015-03-05,mexico,27.7,32.5,24.1,0.0,63.0,16.9
2015-03-06,india,25.9,32.0,20.2,0.0,61.0,14.8
2015-03-06,mexico,28.4,33.6,23.8,0.0,59.0,13.5
2015-03-07,india,27.1,33.1,22.2,0.0,50.0,19.8
2015-03-07,mexico,27.8,32.8,23.5,0.0,56.0,18.4
2015-03-08,india,26.9,32.3,22.1,0.0,53.0,19.8
2015-03-08,mexico,27.4,33.2,22.1,0.0,49.0,15.1
2015-03-09,india,26.3,31.4,21.6,0.0,56.0,14.4
2015-03-09,mexico,27.9,33.1,22.1,0.0,48.0,16.2
2015-03-10,india,27.1,31.6,23.3,0.6,60.0,9.0
2015-03-10,mexico,26.9,31.3,22.6,0.0,61.0,14.6
2015-03-11,india,28.7,34.5,23.6,0.0,58.0,13.9
2015-03-11,mexico,26.5,31.3,22.5,0.0,64.0,14.8
2015-03-12,india,29.1,36.3,23.7,0.0,56.0,15.3
2015-03-12,mexico,26.5,30.4,23.0,0.0,65.0,14.5
2015-03-13,india,28.3,32.0,24.1,0.3,55.0,16.9
2015-03-13,mexico,26.7,31.1,23.3,0.0,65.0,13.9
2015-03-14,india,28.0,31.7,23.8,0.3,56.0,14.9
2015-03-14,mexico,26.9,30.5,23.5,0.0,65.0,12.6
2015-03-15,india,27.7,31.1,24.3,1.6,57.0,15.7
2015-03-15,mexico,26.9,30.7,23.2,0.0,64.0,13.6
2015-03-16,india,27.7,31.7,23.9,0.0,57.0,16.3
2015-03-16,mexico,26.7,30.9,23.0,0.0,64.0,13.5
2015-03-17,india,27.9,32.4,24.1,0.0,58.0,16.6
2015-03-17,mexico,26.7,30.9,23.4,0.0,63.0,13.1
2015-03-18,india,28.2,33.6,24.3,0.0,59.0,18.9
2015-03-18,mexico,27.1,30.8,23.5,0.0,64.0,14.7
2015-03-19,india,28.4,33.5,24.9,0.0,65.0,13.0
2015-03-19,mexico,27.6,32.0,23.9,0.0,62.0,12.8
2015-03-20,india,28.6,33.4,24.0,0.0,59.0,11.2
2015-03-20,mexico,27.2,31.2,24.1,0.0,64.0,11.8
2015-03-21,india,28.7,32.6,24.6,0.3,63.0,12.6
2015-03-21,mexico,26.7,29.5,24.2,0.0,70.0,10.7
2015-03-22,india,28.7,33.2,24.2,0.0,64.0,11.2
2015-03-22,mexico,27.3,31.4,24.0,0.0,66.0,14.0
2015-03-23,india,28.6,32.5,24.2,0.4,66.0,9.7
2015-03-23,mexico,27.4,32.1,23.1,0.0,66.0,12.6
2015-03-24,india,29.3,34.2,24.1,0.2,64.0,16.2
2015-03-24,mexico,27.5,32.8,22.8,0.0,64.0,13.3
2015-03-25,india,29.2,34.7,24.9,0.0,69.0,18.7
2015-03-25,mexico,28.0,32.8,24.6,0.6,66.0,11.2
2015-03-26,india,29.0,33.2,25.6,1.4,79.0,13.0
2015-03-26,mexico,27.6,33.2,22.6,0.0,66.0,15.5
2015-03-27,india,29.3,32.7,26.4,0.4,78.0,13.3
2015-03-27,mexico,28.3,32.4,25.4,0.0,67.0,16.2
2015-03-28,india,29.0,32.9,25.7,1.0,78.0,14.0
2015-03-28,mexico,27.8,32.7,23.4,0.0,65.0,11.5
2015-03-29,india,29.3,34.1,25.6,1.0,76.0,13.7
2015-03-29,mexico,28.1,33.3,23.6,0.0,62.0,13.9
2015-03-30,india,29.6,32.2,25.6,2.2,63.0,16.2
2015-03-30,mexico,27.5,32.6,22.9,2.6,64.0,14.0
2015-03-31,india,29.8,35.1,25.2,0.0,50.0,22.3
2015-03-31,mexico,28.1,33.2,23.1,0.3,59.0,12.6
2015-04-01,india,29.0,34.3,24.7,0.0,42.0,19.1
2015-04-01,mexico,28.5,33.3,23.6,0.8,58.0,15.5
2015-04-02,india,28.6,33.3,24.0,0.0,53.0,14.8
2015-04-02,mexico,28.5,33.1,25.3,0.0,64.0,12.6
2015-04-03,india,28.4,32.5,24.7,0.0,58.0,18.7
2015-04-03,mexico,28.7,33.2,24.7,0.0,65.0,13.0
2015-04-04,india,28.7,33.4,24.3,0.0,50.0,20.9
2015-04-04,mexico,29.4,33.6,25.5,0.0,61.0,15.8
2015-04-05,india,28.3,33.3,23.9,0.0,57.0,20.9
2015-04-05,mexico,28.6,33.4,23.4,0.0,59.0,15.8
2015-04-06,india,27.9,33.7,23.4,0.0,61.0,19.4
2015-04-06,mexico,28.6,33.4,24.1,0.0,59.0,14.0
2015-04-07,india,27.5,31.3,23.7,0.0,68.0,13.3
2015-04-07,mexico,28.7,33.2,24.0,0.0,62.0,13.7
2015-04-08,india,27.7,31.6,23.7,0.0,74.0,14.0
2015-04-08,mexico,28.9,33.4,24.2,0.0,60.0,13.7
2015-04-09,india,27.9,31.5,23.8,0.0,75.0,13.3
2015-04-09,mexico,29.0,33.6,24.8,0.0,59.0,14.4
2015-04-10,india,28.5,31.8,25.2,0.0,74.0,13.7
2015-04-10,mexico,29.2,32.9,25.9,0.0,64.0,14.2
2015-04-11,india,28.4,31.6,24.6,0.2,74.0,11.5
2015-04-11,mexico,29.1,33.1,25.2,0.0,63.0,13.9
2015-04-12,india,28.8,31.8,24.6,0.0,70.0,16.2
2015-04-12,mexico,28.9,33.7,25.0,0.0,63.0,14.8
2015-04-13,india,28.0,32.0,24.0,0.0,66.0,15.8
2015-04-13,mexico,27.2,31.4,23.7,0.0,67.0,11.8
2015-04-14,india,28.1,31.6,25.0,0.0,65.0,16.5
2015-04-14,mexico,27.6,31.5,24.6,0.0,66.0,13.1
2015-04-15,india,28.4,32.0,25.2,0.0,67.0,16.2
2015-04-15,mexico,27.9,31.6,25.0,0.0,67.0,13.3
2015-04-16,india,28.8,32.5,24.8,1.8,65.0,12.6
2015-04-16,mexico,28.0,30.7,26.0,0.8,70.0,6.5
2015-04-17,india,29.1,32.8,26.0,0.9,69.0,14.0
2015-04-17,mexico,28.8,32.9,24.8,0.2,67.0,14.4
2015-04-18,india,29.5,33.4,25.9,0.0,71.0,17.6
2015-04-18,mexico,28.5,31.8,25.5,0.5,68.0,8.0
2015-04-19,india,29.6,32.9,25.4,0.9,70.0,14.4
2015-04-19,mexico,28.0,32.4,23.8,0.1,71.0,13.3
2015-04-20,india,29.9,33.2,26.0,0.0,75.0,13.3
2015-04-20,mexico,28.6,33.0,25.2,5.2,71.0,12.6
2015-04-21,india,30.0,33.9,26.3,0.0,78.0,14.8
2015-04-21,mexico,28.3,33.4,25.0,3.4,71.0,9.7
2015-04-22,india,29.6,34.0,26.9,0.3,75.0,12.2
2015-04-22,mexico,28.6,32.2,25.8,0.4,73.0,11.0
2015-04-23,india,30.1,34.0,27.1,0.7,74.0,14.0
2015-04-23,mexico,29.8,33.8,26.0,0.0,68.0,12.6
2015-04-24,india,29.7,32.7,26.2,0.0,70.0,12.6
2015-04-24,mexico,30.2,34.4,26.9,0.0,65.0,14.4
2015-04-25,india,29.2,33.2,25.2,0.0,65.0,14.4
2015-04-25,mexico,29.3,33.5,25.1,0.9,66.0,12.1
2015-04-26,india,29.0,32.7,25.1,0.0,67.0,16.9
2015-04-26,mexico,28.0,32.2,24.3,0.3,72.0,13.3
2015-04-27,india,29.0,32.9,25.8,0.0,72.0,15.5
2015-04-27,mexico,28.2,33.2,22.9,0.4,67.0,12.8
2015-04-28,india,29.1,32.6,25.6,0.0,71.0,16.5
2015-04-28,mexico,28.0,31.6,24.6,0.0,68.0,14.0
2015-04-29,india,29.7,32.9,25.7,0.0,74.0,15.1
2015-04-29,mexico,30.6,34.6,27.1,0.0,63.0,14.0
